_id,base,date,currency,rate
686cf69287a0da11de451800,USD,"Tue, 08 Jul 2025 00:02:31 +0000",KZT,519.554565
686cf69287a0da11de451801,USD,"Tue, 08 Jul 2025 00:02:31 +0000",LAK,21628.449165
686cf69287a0da11de451802,USD,"Tue, 08 Jul 2025 00:02:31 +0000",LBP,89500
686cf69287a0da11de451803,USD,"Tue, 08 Jul 2025 00:02:31 +0000",LKR,300.40343
686cf69287a0da11de451804,USD,"Tue, 08 Jul 2025 00:02:31 +0000",LRD,200.596376
686cf69287a0da11de451805,USD,"Tue, 08 Jul 2025 00:02:31 +0000",LSL,17.814361
686cf69287a0da11de451806,USD,"Tue, 08 Jul 2025 00:02:31 +0000",LYD,5.385929
686cf69287a0da11de451807,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MAD,9.001512
686cf69287a0da11de451808,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MDL,16.819436
686cf69287a0da11de451809,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MGA,4409.126047
686cf69287a0da11de45180a,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MKD,52.360756
686cf69287a0da11de45180b,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MMK,2101.702312
686cf69287a0da11de45180c,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MNT,3614.638764
686cf69287a0da11de45180d,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MOP,8.085391
686cf69287a0da11de45180e,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MRU,39.888162
686cf69287a0da11de45180f,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MUR,44.930145
686cf69287a0da11de451810,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MVR,15.443243
686cf69287a0da11de451811,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MWK,1742.96772
686cf69287a0da11de451812,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MXN,18.670546
686cf69287a0da11de451813,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MYR,4.236125
686cf69287a0da11de451814,USD,"Tue, 08 Jul 2025 00:02:31 +0000",MZN,63.628438
686cf69287a0da11de451815,USD,"Tue, 08 Jul 2025 00:02:31 +0000",NAD,17.814361
686cf69287a0da11de451816,USD,"Tue, 08 Jul 2025 00:02:31 +0000",NGN,1530.549746
686cf69287a0da11de451817,USD,"Tue, 08 Jul 2025 00:02:31 +0000",NIO,36.811331
686cf69287a0da11de451818,USD,"Tue, 08 Jul 2025 00:02:31 +0000",NOK,10.116181
686cf69287a0da11de451819,USD,"Tue, 08 Jul 2025 00:02:31 +0000",NPR,137.388645
686cf69287a0da11de45181a,USD,"Tue, 08 Jul 2025 00:02:31 +0000",NZD,1.665334
686cf69287a0da11de45181b,USD,"Tue, 08 Jul 2025 00:02:31 +0000",OMR,0.384497
686cf69287a0da11de45181c,USD,"Tue, 08 Jul 2025 00:02:31 +0000",PAB,1
686cf69287a0da11de45181d,USD,"Tue, 08 Jul 2025 00:02:31 +0000",PEN,3.555139
686cf69287a0da11de45181e,USD,"Tue, 08 Jul 2025 00:02:31 +0000",PGK,4.191378
686cf69287a0da11de45181f,USD,"Tue, 08 Jul 2025 00:02:31 +0000",PHP,56.673384
686cf69287a0da11de451820,USD,"Tue, 08 Jul 2025 00:02:31 +0000",PKR,283.826526
686cf69287a0da11de451821,USD,"Tue, 08 Jul 2025 00:02:31 +0000",PLN,3.622963
686cf69287a0da11de451822,USD,"Tue, 08 Jul 2025 00:02:31 +0000",PYG,7976.335547
686cf69287a0da11de451823,USD,"Tue, 08 Jul 2025 00:02:31 +0000",QAR,3.64
686cf69287a0da11de451824,USD,"Tue, 08 Jul 2025 00:02:31 +0000",RON,4.315509
686cf69287a0da11de451825,USD,"Tue, 08 Jul 2025 00:02:31 +0000",RSD,99.827514
686cf69287a0da11de451826,USD,"Tue, 08 Jul 2025 00:02:31 +0000",RUB,78.702003
686cf69287a0da11de451827,USD,"Tue, 08 Jul 2025 00:02:31 +0000",RWF,1448.198623
686cf69287a0da11de451828,USD,"Tue, 08 Jul 2025 00:02:31 +0000",SAR,3.75
